curve,n,p,distances,amplitude,xi,Q_covariance,residual_dimension,max_abs_marginal_z
original,64,0.2,"0,1,2,4",0.0637590828987097,2.08048547424907,30.1599653891773,2,5.04797948308597
original,64,0.26,"0,1,2,4",0.0474062854687577,2.0811240596197,4.7938610759165,2,1.88560244069352
original,64,0.34,"0,1,2,4",0.0401015279072199,1.93189311153964,10.9837743480876,2,3.00343837931065
original,128,0.2,"0,1,2,4",0.0648942942410301,1.84182426819397,25.5422422294199,2,4.13434530053137
original,128,0.26,"0,1,2,4",0.0507672749343629,1.98671470521466,3.0624014626923,2,1.53206569727098
original,128,0.34,"0,1,2,4",0.0376849311694421,2.2825767412445,7.1780133587811,2,2.32058961989904
original,256,0.2,"0,1,2,4",0.0563132100996995,2.38553062755554,18.7287837035596,2,3.65292333748917
original,256,0.26,"0,1,2,4",0.0477921747627685,1.77746107721787,29.061279670687,2,4.76541659836749
original,256,0.34,"0,1,2,4",0.0388624257383232,1.64853096133153,24.2057493616622,2,4.55007709794571
