distance,fraction_of_adjacent_effect,ci_low,ci_high
1,0.919913719629531,0.860040312281939,0.982022522265758
2,0.38853483668627,0.352000568263789,0.427250144885299
4,0.113633591676839,0.0954321004253893,0.132406584257709
8,0.0233845969712228,0.0161307815316018,0.0315498587202536
16,0.00584614924269228,0.00229850801204448,0.0103388620803895
