distance,fraction_of_adjacent_effect,ci_low,ci_high
1,0.892743430821695,0.829816153644442,0.958616595118017
2,0.402857773420324,0.357999909373868,0.450189091260108
4,0.119502043102047,0.0954241345114054,0.145182899346861
8,0.0164707011596808,0.00891860394708222,0.0251410349538779
16,0.00513094097027397,0.000937157711515693,0.0106458709068956
