trajectory_id,side,near_distance,far_distance,near_change,far_change,near_minus_far,central_entropy_change_both
measurement_location_intervention|z_projective|n64|p0.20000|tr326,-1,0,16,0.0,-0.40000000009313225,0.40000000009313225,0
measurement_location_intervention|z_projective|n64|p0.20000|tr455,-1,0,16,0.0,-0.40000000009313225,0.40000000009313225,0
