curve,distance,estimate,ci_low,ci_high,simultaneous_low,simultaneous_high,bootstrap_se
original,0,-0.0475146573006579,-0.0495241323145962,-0.0456114490467632,-0.0501688816836625,-0.0448604329176533,0.00100853061050337
original,1,-0.0437093851343707,-0.0462264737754222,-0.0412081464633285,-0.0470985009453363,-0.040320269323405,0.00128776868292899
original,2,-0.0184610996145152,-0.0201640778192026,-0.0168791944010853,-0.02065020111618,-0.0162719981128504,0.000831796998047556
original,4,-0.0053992611663679,-0.00626918933537742,-0.00456435766082706,-0.00655308448397145,-0.00424543784876435,0.000438420407244717
original,8,-0.00111111111120166,-0.00150000000009055,-0.000777777777816583,-0.00159926335366884,-0.000622958868734477,0.000185484121940251
original,16,-0.000277777777795025,-0.000481481481541845,-0.000111111111111111,-0.000538129629664353,-1.74259259256963e-05,9.89263808262596e-05
