distance,observed,frozen_fit,ci_low,ci_high,residual_over_marginal_se
0,-0.0475146573006579,-0.0515867554789575,-0.0494906716299422,-0.0455751445901524,4.06553745356131
1,-0.0437093851343707,-0.0338417403945414,-0.0462880765641781,-0.0411823282860709,-7.67489320812764
2,-0.0184610996145152,-0.0222007254051613,-0.0201352728235285,-0.0168641790343475,4.55418530791421
4,-0.0053992611663679,-0.00955423933797156,-0.0062906485032751,-0.004544995196195,9.36634949080959
8,-0.00111111111120166,-0.00176951406382745,-0.0015000000001512,-0.0007592592593324,3.49073990525987
16,-0.000277777777795025,-6.06973629764402e-05,-0.0005000000000172,-9.25925926012159e-05,-2.15332569881127
