accepted_filename,source_archive,sha256,bytes,browser_copy,reproduction_script,tracked_binary
figure_01_panel_b.pdf,Overleaf.zip,2da1770c2d1fea9faa6fc032ac01fa892d989b947b9ff627ef04000b15e85948,11701,figures/core_svg/figure_01_panel_b.svg,scripts/figures/make_figure_01_frozen.py,false
figure_02_response_matrix.pdf,Overleaf.zip,22f4f49a05a9524726a0883647ccf9f1cd255bfc46f27e44e38704641e66fefd,8464,figures/core_svg/figure_02_response_matrix.svg,scripts/figures/make_figure_02.py,false
figure_02_redistribution_matrix.pdf,Overleaf.zip,a5c826ca020300bb7e4bd878f01f353dfd0bdc28640f876ce04e62cbc5b988f9,5167,figures/core_svg/figure_02_redistribution_matrix.svg,scripts/figures/make_figure_02.py,false
figure_03_size_scaling.pdf,Overleaf.zip,b7886236ccf1cc06211789145d2fa6b0fd6e886f21b030ce79878e6c6f873264,14136,figures/core_svg/figure_03_size_scaling.svg,scripts/figures/make_figure_03.py,false
figure_04_distance_decay.pdf,Overleaf.zip,5814382d67364ada634403fe5821946bbb76644a0b493e4545ed83187e7fdca3,12594,figures/core_svg/figure_04_distance_decay.svg,scripts/figures/make_figure_04.py,false
figure_04_conditioning_contrast.pdf,Overleaf.zip,f6bca5e29d0e6c2d51f54e9ed84095322dd689439fc88c0f1d88be4934ea8d66,9805,figures/core_svg/figure_04_conditioning_contrast.svg,scripts/figures/make_figure_04.py,false
