arm,run,condition,probe_or_outcome,contrast_or_slope,estimate,ci_low,ci_high,status
central-spectrum intervention,posthoc_rank2,Clifford / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.1442572159240789,-0.1768195623775973,-0.1121158025090387,below zero
central-spectrum intervention,posthoc_rank2,Clifford / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.1023627257763145,-0.124541190868697,-0.0791183605951585,below zero
central-spectrum intervention,posthoc_rank2,Clifford / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.11268147326564,-0.1386508093123938,-0.0864586643696086,below zero
central-spectrum intervention,posthoc_rank2,Floquet Cartan / projective Z,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.126952855863775,-0.14685949773293,-0.1068651555408235,below zero
central-spectrum intervention,posthoc_rank2,Floquet Cartan / projective Z,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0904473156710479,-0.106208158489712,-0.0758240141450122,below zero
central-spectrum intervention,posthoc_rank2,Floquet Cartan / projective Z,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.1001341130519333,-0.1186614061676998,-0.0822275307093981,below zero
central-spectrum intervention,posthoc_rank2,Haar / random Pauli,Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0950865699317399,-0.1116126924641065,-0.0780635589550782,below zero
central-spectrum intervention,posthoc_rank2,Haar / random Pauli,locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0653601493807884,-0.0776557470154468,-0.0529899992304218,below zero
central-spectrum intervention,posthoc_rank2,Haar / random Pauli,locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0686419873135025,-0.0825517796545354,-0.0547951878905982,below zero
central-spectrum intervention,posthoc_rank2,Haar / weak Z (eta=0.6),Haar or Clifford 2-design,chi(p=0.24)-chi(p=0.08),-0.0785543648328506,-0.0904700158505306,-0.0667820799227934,below zero
central-spectrum intervention,posthoc_rank2,Haar / weak Z (eta=0.6),locally dressed XY(pi/8),chi(p=0.24)-chi(p=0.08),-0.0554220993193448,-0.0638794331199164,-0.0473883261130418,below zero
central-spectrum intervention,posthoc_rank2,Haar / weak Z (eta=0.6),locally dressed XX(pi/4),chi(p=0.24)-chi(p=0.08),-0.0605096372595298,-0.0705677939621059,-0.0510235460520577,below zero
physical exact-spectrum stabilizer,main_physical,random Pauli,Haar or Clifford 2-design,fixed-spectrum slope per Delta p=0.04,-0.0149431281471839,-0.0177506542766895,-0.0121356020176783,below zero
physical exact-spectrum stabilizer,main_physical,random Pauli,locally dressed XX(pi/8),fixed-spectrum slope per Delta p=0.04,-0.005546058128617,-0.0067260945933989,-0.0043660216638351,below zero
physical exact-spectrum stabilizer,main_physical,random Pauli,locally dressed XX(pi/4),fixed-spectrum slope per Delta p=0.04,-0.0110921162572341,-0.0134521891867979,-0.0087320433276703,below zero
physical exact-spectrum stabilizer,main_physical,random Pauli,neighboring-cut purity sum,fixed-spectrum slope per Delta p=0.04,0.0366491971052712,0.0297859398424087,0.0435124543681337,above zero
physical exact-spectrum stabilizer,main_physical,projective Z,Haar or Clifford 2-design,fixed-spectrum slope per Delta p=0.04,-0.0137266837577461,-0.0164308840474452,-0.0110224834680469,below zero
physical exact-spectrum stabilizer,main_physical,projective Z,locally dressed XX(pi/8),fixed-spectrum slope per Delta p=0.04,-0.0051040440520827,-0.0062367028596231,-0.0039713852445422,below zero
physical exact-spectrum stabilizer,main_physical,projective Z,locally dressed XX(pi/4),fixed-spectrum slope per Delta p=0.04,-0.0102080881041654,-0.0124734057192463,-0.0079427704890844,below zero
physical exact-spectrum stabilizer,main_physical,projective Z,neighboring-cut purity sum,fixed-spectrum slope per Delta p=0.04,0.0336639875728028,0.0270513457723814,0.0402766293732242,above zero
physical exact-spectrum stabilizer,independent_physical,random Pauli,Haar or Clifford 2-design,fixed-spectrum slope per Delta p=0.04,-0.0124285249463788,-0.0163811557565184,-0.0084758941362391,below zero
physical exact-spectrum stabilizer,independent_physical,random Pauli,locally dressed XX(pi/8),fixed-spectrum slope per Delta p=0.04,-0.0047840888558777,-0.0063777796196783,-0.0031903980920772,below zero
physical exact-spectrum stabilizer,independent_physical,random Pauli,locally dressed XX(pi/4),fixed-spectrum slope per Delta p=0.04,-0.0095681777117556,-0.0127555592393566,-0.0063807961841545,below zero
physical exact-spectrum stabilizer,independent_physical,random Pauli,neighboring-cut purity sum,fixed-spectrum slope per Delta p=0.04,0.0303995902281958,0.0207215627745929,0.0400776176817987,above zero
physical exact-spectrum stabilizer,independent_physical,projective Z,Haar or Clifford 2-design,fixed-spectrum slope per Delta p=0.04,-0.0140455138267411,-0.01818209104475,-0.0099089366087323,below zero
physical exact-spectrum stabilizer,independent_physical,projective Z,locally dressed XX(pi/8),fixed-spectrum slope per Delta p=0.04,-0.0051203418551617,-0.0068438492931288,-0.0033968344171945,below zero
physical exact-spectrum stabilizer,independent_physical,projective Z,locally dressed XX(pi/4),fixed-spectrum slope per Delta p=0.04,-0.0102406837103234,-0.0136876985862577,-0.0067936688343891,below zero
physical exact-spectrum stabilizer,independent_physical,projective Z,neighboring-cut purity sum,fixed-spectrum slope per Delta p=0.04,0.0345264641995071,0.0244012240137901,0.0446517043852242,above zero
