probe,c_I,c_Fa,c_Fb,c_Fab,coefficient_sum
haar_or_clifford_2design,0.4,0.0,0.0,0.4,0.8
cartan_xy_pi8,0.3333333333333333,0.2500000000000001,-0.08333333333333348,0.3333333333333334,0.8333333333333333
cartan_xx_pi4,0.4444444444444444,0.11111111111111116,-0.22222222222222224,0.4444444444444444,0.7777777777777778
