delta_L,delta_R,boundary_code,display_response,display_probability_slope,chi_relative_value,susceptibility_contribution,direct_total_beta,ci_low,ci_high,rows
-1,-1,"-1,-1",0.6,-0.0143867537307,0.6,-0.00863205223842,-0.0521300363926,-0.0171536949876,-0.0116198124738,17630
-1,0,"-1,+0",0.4,-0.0241941220545,0.4,-0.00967764882179,-0.0521300363926,-0.0287817242885,-0.0196065198205,17630
-1,1,"-1,+1",0,-0.00132086575502,0,-0,-0.0521300363926,-0.00299804300978,0.000356311499736,17630
0,-1,"+0,-1",0.4,-0.0234800092763,0.4,-0.00939200371053,-0.0521300363926,-0.0283199624175,-0.0186400561351,17630
0,0,"+0,+0",0.2,-0.00522502732392,0.2,-0.00104500546478,-0.0521300363926,-0.0124391141011,0.00198905945326,17630
0,1,"+0,+1",-0.2,0.0218069072471,-0.2,-0.00436138144942,-0.0521300363926,0.017585911307,0.0260279031871,17630
1,-1,"+1,-1",0,0.000755782785421,0,0,-0.0521300363926,-0.00104498063074,0.00255654620158,17630
1,0,"+1,+0",-0.2,0.0215112703928,-0.2,-0.00430225407857,-0.0521300363926,0.0173474162074,0.0256751245783,17630
1,1,"+1,+1",-0.6,0.0245328177151,-0.6,-0.0147196906291,-0.0521300363926,0.0209833580386,0.0280822773916,17630
