curve,distances,weighting,amplitude,xi,Q_covariance,residual_dimension,max_abs_marginal_z
original_archived_bootstrap,"0,1,2,4,8,16",unweighted,0.0515868038921995,2.37207610306614,208.216758093777,4,9.36622882462413
original_archived_bootstrap,"0,1,2,4,8,16",diagonal,0.0507976795893684,2.03129424142554,141.437497359481,4,9.84735257314752
original_archived_bootstrap,"0,1,2,4,8,16",covariance,0.0499314285209067,2.04549332756006,140.590724847837,4,10.1779088802517
original_archived_bootstrap,"0,1,2,4,8",unweighted,0.051588138972879,2.37179294669448,203.031198117285,3,9.36245067545415
original_archived_bootstrap,"0,1,2,4,8",diagonal,0.0508309840323529,2.02688689895165,134.362474643324,3,9.8573737073226
original_archived_bootstrap,"0,1,2,4,8",covariance,0.0499820046764167,2.04027969208625,133.546586383144,3,10.1835498844292
original_archived_bootstrap,"0,1,2,4",unweighted,0.0515353963030884,2.38459185201239,195.123523165951,2,9.53604182964106
original_archived_bootstrap,"0,1,2,4",diagonal,0.0509438962908131,2.0079754410184,134.159889096407,2,9.91590639433321
original_archived_bootstrap,"0,1,2,4",covariance,0.0500518496239788,2.02800866728595,133.288114523648,2,10.2208885716886
original_archived_bootstrap,"1,2,4,8,16",unweighted,0.0970575238208258,1.24311733111494,46.6593949824285,3,5.06567923313866
original_archived_bootstrap,"1,2,4,8,16",diagonal,0.0831155587388471,1.43930393700262,37.4556885506971,3,4.19191836390187
original_archived_bootstrap,"1,2,4,8,16",covariance,0.0833044776499157,1.4310248666683,37.4145802443584,3,4.24194407567591
original_archived_bootstrap,"2,4,8,16",unweighted,0.061009944055551,1.67057271691793,18.2839077856112,2,3.19884729340655
original_archived_bootstrap,"2,4,8,16",diagonal,0.0512775491050206,1.89206190010146,15.2470321149718,2,2.64730470357474
original_archived_bootstrap,"2,4,8,16",covariance,0.051524746840098,1.8842657024761,15.2426346405005,2,2.65051857313524
original_archived_bootstrap,"4,8,16",unweighted,0.025496463817035,2.57553827614117,5.06770153481022,1,2.24841661612409
original_archived_bootstrap,"4,8,16",diagonal,0.0227898913361763,2.74111131538457,4.78526289682963,1,2.09588407606191
original_archived_bootstrap,"4,8,16",covariance,0.0226071049032433,2.75445313356441,4.78370634209063,1,2.08241252799682
common,"0,1,2,4,8,16",unweighted,0.0591384734521669,2.3829836977973,141.454058881309,4,6.58261257005607
common,"0,1,2,4,8,16",diagonal,0.058352183240696,2.05845396676544,95.3460779646438,4,8.0142485359098
common,"0,1,2,4,8,16",covariance,0.0572752273634607,2.06567974101234,94.4466559106273,4,8.38351417424095
common,"0,1,2,4,8",unweighted,0.0591398078041194,2.38273595860371,139.115417544132,3,6.58014911702055
common,"0,1,2,4,8",diagonal,0.0583784859754238,2.05452470526958,91.9947927069493,3,8.02477036147957
common,"0,1,2,4,8",covariance,0.0572419546487539,2.06299623018412,91.0003175324813,3,8.409685903787
common,"0,1,2,4",unweighted,0.0590444239444088,2.40300331430929,117.636255154069,2,6.78477549153728
common,"0,1,2,4",diagonal,0.0581047426704857,2.10793879436987,89.9670306922487,2,7.85629391597913
common,"0,1,2,4",covariance,0.0569819613025139,2.11628331547427,88.9874230852435,2,8.24373181400979
common,"1,2,4,8,16",unweighted,0.102632201156882,1.34013034458062,16.2379783789042,3,2.7584004677488
common,"1,2,4,8,16",diagonal,0.0925357532963311,1.49359214282893,12.356021757329,3,2.0200168654317
common,"1,2,4,8,16",covariance,0.0933226406312522,1.4830536284443,12.3336825635969,3,2.06311565596381
common,"2,4,8,16",unweighted,0.0734552330020519,1.66417172199112,5.6116479598878,2,1.9994611032501
common,"2,4,8,16",diagonal,0.0670901526908375,1.77538980403405,4.95360705512608,2,1.97577861742014
common,"2,4,8,16",covariance,0.0674407414054913,1.77016660769418,4.95177260061272,2,1.9770294570924
common,"4,8,16",unweighted,0.0467421417436268,2.03616472821486,3.63741207374142,1,1.90425199762307
common,"4,8,16",diagonal,0.0446687735595161,2.07803298819609,3.62938424045507,1,1.88862822952698
common,"4,8,16",covariance,0.0452278911519307,2.06579359860741,3.62770329012993,1,1.89340216286966
