source,line,module,status
scripts/figures/make_figure_03.py,4,pathlib,stdlib
scripts/figures/make_figure_03.py,5,numpy,dependency
scripts/figures/make_figure_03.py,6,pandas,dependency
scripts/figures/make_figure_03.py,7,matplotlib,dependency
scripts/figures/make_figure_03.py,8,matplotlib.pyplot,dependency
scripts/figures/make_figure_03.py,9,export_formats,local
scripts/figures/make_figure_04.py,2,__future__,stdlib
scripts/figures/make_figure_04.py,3,argparse,stdlib
scripts/figures/make_figure_04.py,4,pathlib,stdlib
scripts/figures/make_figure_04.py,5,matplotlib,dependency
scripts/figures/make_figure_04.py,6,matplotlib.pyplot,dependency
scripts/figures/make_figure_04.py,7,export_formats,local
scripts/figures/make_figure_04.py,8,numpy,dependency
scripts/figures/make_figure_04.py,9,pandas,dependency
src/boundary_susceptibility/__init__.py,3,response,local
src/boundary_susceptibility/__init__.py,4,boundary_codes,local
src/boundary_susceptibility/boundary_codes.py,1,__future__,stdlib
src/boundary_susceptibility/records.py,6,__future__,stdlib
src/boundary_susceptibility/records.py,7,pathlib,stdlib
src/boundary_susceptibility/records.py,8,hashlib,stdlib
src/boundary_susceptibility/records.py,9,json,stdlib
src/boundary_susceptibility/records.py,10,shutil,stdlib
src/boundary_susceptibility/records.py,11,zipfile,stdlib
src/boundary_susceptibility/response.py,1,__future__,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,3,__future__,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,5,argparse,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,6,json,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,7,math,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,8,pathlib,stdlib
studies/checkpoint_04/scripts/analyze_checkpoint04.py,10,numpy,dependency
studies/checkpoint_04/scripts/analyze_checkpoint04.py,11,pandas,dependency
studies/checkpoint_04/scripts/analyze_checkpoint04.py,12,scipy.optimize,dependency
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,2,__future__,stdlib
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,3,argparse,stdlib
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,3,hashlib,stdlib
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,4,pathlib,stdlib
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,5,numpy,dependency
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,6,pandas,dependency
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,3,__future__,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,5,argparse,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,6,json,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,7,math,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,8,pathlib,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,9,typing,stdlib
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,11,matplotlib.pyplot,dependency
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,12,numpy,dependency
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,13,pandas,dependency
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,14,statsmodels.formula.api,dependency
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,28,hashlib,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,8,__future__,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,10,argparse,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,11,hashlib,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,12,json,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,13,math,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,14,pathlib,stdlib
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,16,numpy,dependency
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,17,pandas,dependency
studies/checkpoint_04/scripts/cp04_common.py,10,__future__,stdlib
studies/checkpoint_04/scripts/cp04_common.py,12,hashlib,stdlib
studies/checkpoint_04/scripts/cp04_common.py,13,math,stdlib
studies/checkpoint_04/scripts/cp04_common.py,14,os,stdlib
studies/checkpoint_04/scripts/cp04_common.py,15,pathlib,stdlib
studies/checkpoint_04/scripts/cp04_common.py,16,typing,stdlib
studies/checkpoint_04/scripts/cp04_common.py,23,numpy,dependency
studies/checkpoint_04/scripts/cp04_common.py,24,scipy.linalg,dependency
studies/checkpoint_04/scripts/cross_architecture_rankflex.py,13,__future__,stdlib
