run,family,probe,cells,direct,reconstructed,archived_estimate,compact_estimate,compact_error,compact_decomposition,compact_decomposition_error
primary_rank4,clifford_z,haar_or_clifford_2design,6,-0.10706124682578684,-0.10706124682578684,-0.10706124682578681,-0.107063180985,1.9341592131655316e-06,-0.107063180985,1.9341592131655316e-06
primary_rank4,clifford_z,cartan_xy_pi8,6,-0.0745679917521984,-0.0745679917521984,-0.07456799175219836,-0.0825363525663,0.0079683608141016,-0.0814255505927,0.006857558840501599
primary_rank4,clifford_z,cartan_xx_pi4,6,-0.07989103708832147,-0.07989103708832147,-0.07989103708832142,-0.0973015724913,0.01741053540297853,-0.0981757003639,0.018284663275578525
primary_rank4,floquet_cartan_z,haar_or_clifford_2design,6,-0.10811800540517674,-0.10811800540517673,-0.10811800540517673,-0.108122699349,4.6939438232557196e-06,-0.108122699349,4.693943823269597e-06
primary_rank4,floquet_cartan_z,cartan_xy_pi8,6,-0.07704813781647182,-0.07704813781647181,-0.07704813781647181,-0.0985805295422,0.02153239172572817,-0.0800936164752,0.0030454786587281873
primary_rank4,floquet_cartan_z,cartan_xx_pi4,6,-0.08533058372706182,-0.08533058372706182,-0.08533058372706183,-0.089849420295,0.004518836567938181,-0.0934466453412,0.008116061614138179
primary_rank4,haar_random_pauli,haar_or_clifford_2design,6,-0.07139085533050203,-0.07139085533050202,-0.071390855330502,-0.0713917854642,9.301336979655739e-07,-0.0713917854642,9.301336979794517e-07
primary_rank4,haar_random_pauli,cartan_xy_pi8,6,-0.048409961691946946,-0.04840996169194694,-0.048409961691946925,-0.0688050373297,0.020395075637753057,-0.0544063399564,0.00599637826445306
primary_rank4,haar_random_pauli,cartan_xx_pi4,6,-0.04977005858907848,-0.04977005858907848,-0.04977005858907846,-0.0648048977792,0.015034839190121517,-0.0657593671455,0.01598930855642152
primary_rank4,haar_weak_z_eta06,haar_or_clifford_2design,6,-0.051755923445083375,-0.05175592344508338,-0.05175592344508336,-0.0517595103467,3.5869016166215073e-06,-0.0517595103467,3.5869016166145684e-06
primary_rank4,haar_weak_z_eta06,cartan_xy_pi8,6,-0.0367476343766631,-0.036747634376663105,-0.03674763437666312,-0.0496014295922,0.012853795215536902,-0.0405153241005,0.003767689723836898
