run,family,cells,A,B,margin,D_weighted_A,D_weighted_B,D_weighted_margin,archived_point_error,archived_noncontig_ci_low,archived_margin_ci_low,archived_joint_claim
primary_rank4,clifford_z,6,0.2624848259138441,0.17203140895614208,0.18978225887466593,0.2676531170644671,0.1757965672314875,0.19162963210043082,1.942890293094024e-16,0.06875997017378863,-0.2091088394236859,False
primary_rank4,floquet_cartan_z,6,0.26544350006360345,0.15394405592409316,0.29205372063394797,0.27029501351294183,0.15660240025410546,0.29816805278124003,2.7755575615628914e-16,0.12674808568779516,0.14755451831176672,True
primary_rank4,haar_random_pauli,6,0.17532451123335135,0.13054907686545883,0.0485526606061113,0.17847713832625503,0.13298901300165697,0.04896348829673525,2.7755575615628914e-17,0.11131423020672782,-0.040621618092323175,False
primary_rank4,haar_weak_z_eta06,6,0.126977803521881,0.07517636354151318,0.13202939637995814,0.12938980861270846,0.07658762193087648,0.13462112479645144,2.498001805406602e-16,0.06513178980046874,0.09067759259503806,True
primary_rank4,haar_z,6,0.24002917842189556,0.1569026986202192,0.17560322058648625,0.2444873280372223,0.15986594901743892,0.17861956706169468,1.1102230246251565e-16,0.1355262201118932,0.07920439359178788,True
independent_rank4,clifford_z,4,0.19666193627182474,0.06996594450986116,0.4368180225379932,0.20168753668290598,0.07167282611514138,0.44838601615591706,2.7755575615628914e-17,0.015323470566911147,0.06968093659868574,True
independent_rank4,floquet_cartan_z,6,0.25475783406318026,0.1800644848437687,0.11870891203387757,0.25932070211192093,0.18336999953656663,0.12043281076485057,6.938893903907228e-17,0.1400078785568984,-0.0663983585711093,False
independent_rank4,haar_random_pauli,6,0.19472172205594682,0.13339213020254642,0.1119262372110551,0.19825227021472067,0.13597464155491923,0.11313587308428652,2.636779683484747e-16,0.10782719640113528,-0.0468392925794885,False
independent_rank4,haar_weak_z_eta06,6,0.12425620379318447,0.06837958074738054,0.15512691143583518,0.1267268073041752,0.06967356663669388,0.15853939603323142,8.326672684688674e-17,0.05439428496992253,0.0986334889469505,True
independent_rank4,haar_z,6,0.19548696372620458,0.1186357619020779,0.18876904539442885,0.1989182717765472,0.12066074660275121,0.19236935409243272,2.498001805406602e-16,0.09098882286526432,0.0680986275903124,True
posthoc_rank2,clifford_z,6,0.35379787122673095,0.21032963233281676,0.36354332324284,0.36064303981019735,0.21421944992501452,0.37147490961571683,2.7755575615628914e-16,0.15071042144654692,0.1433816534130466,True
posthoc_rank2,floquet_cartan_z,6,0.3116469408795697,0.1809830671618673,0.34167242770894224,0.31738213965943757,0.1841607705851751,0.34872470571187475,2.220446049250313e-16,0.1426962859937132,0.17246758182634433,True
posthoc_rank2,haar_random_pauli,6,0.23352546645891867,0.16351127377773003,0.11654549694702454,0.2377164248293497,0.16654390674793818,0.11814616557770796,1.8041124150158794e-16,0.13586089928123915,0.008910008851455988,True
posthoc_rank2,haar_weak_z_eta06,6,0.192870601460203,0.11835413996074973,0.17971170603706332,0.19638591208212663,0.12047845649636879,0.18315136584666258,2.7755575615628914e-17,0.0996443174342266,0.11881995441759248,True
posthoc_rank2,haar_z,6,0.32543132203844594,0.19238112925814646,0.33981964186305147,0.33145821324365543,0.1959608433435357,0.34602863625694325,1.6653345369377348e-16,0.16149062922954605,0.20095310469594943,True
