run,protocol,beta_infinity,a,ci_low,ci_high
primary,random_pauli,-0.01014283833350089,0.08346957532552518,-0.011044914528601766,-0.0092814704963953172
primary,z_projective,-0.0095798352014701497,0.052869656192797515,-0.010444456210916145,-0.0087047856080591807
replication,random_pauli,-0.010507012370252471,0.072336030854288552,-0.012130938145983277,-0.0089901344230834263
replication,z_projective,-0.0099475102775451549,0.065403881205422648,-0.0114428404813897,-0.0084743555166720743
