run,family,n,tau,p,eligible,mean,contrast
independent,haar_random_pauli,12,6,0.08,8,0.46594544443623115,-0.18380282527682695
independent,haar_random_pauli,12,6,0.24,8,0.2821426191594042,-0.18380282527682695
independent,haar_random_pauli,12,8,0.08,8,0.40878835293009164,-0.16817053420011072
independent,haar_random_pauli,12,8,0.24,8,0.24061781872998092,-0.16817053420011072
independent,haar_random_pauli,14,6,0.08,8,0.2858274867693097,-0.2849784929149311
independent,haar_random_pauli,14,6,0.24,8,0.0008489938543785941,-0.2849784929149311
independent,haar_random_pauli,14,8,0.08,8,0.26439502454414743,-0.18687161876498282
independent,haar_random_pauli,14,8,0.24,8,0.0775234057791646,-0.18687161876498282
primary,haar_weak_z_eta06,10,6,0.08,12,0.312514541555541,-0.18218603093913782
primary,haar_weak_z_eta06,10,6,0.24,12,0.13032851061640316,-0.18218603093913782
primary,haar_weak_z_eta06,10,8,0.08,12,0.29770925770258855,-0.2119450213418581
primary,haar_weak_z_eta06,10,8,0.24,12,0.08576423636073043,-0.2119450213418581
primary,haar_weak_z_eta06,12,6,0.08,12,0.4426199008603621,-0.1412832451213909
primary,haar_weak_z_eta06,12,6,0.24,12,0.3013366557389712,-0.1412832451213909
primary,haar_weak_z_eta06,12,8,0.08,12,0.4538736147480453,-0.15514229817903447
primary,haar_weak_z_eta06,12,8,0.24,12,0.2987313165690108,-0.15514229817903447
primary,haar_weak_z_eta06,14,6,0.08,12,0.4022274263319712,-0.17836357912490083
primary,haar_weak_z_eta06,14,6,0.24,12,0.2238638472070704,-0.17836357912490083
primary,haar_weak_z_eta06,14,8,0.08,12,0.3802270575065764,-0.22660599236141266
primary,haar_weak_z_eta06,14,8,0.24,12,0.15362106514516377,-0.22660599236141266
independent,haar_weak_z_eta06,10,6,0.08,8,0.29794898782352114,-0.21407307431703831
independent,haar_weak_z_eta06,10,6,0.24,8,0.08387591350648281,-0.21407307431703831
independent,haar_weak_z_eta06,10,8,0.08,8,0.2789573689250685,-0.23514557245326298
independent,haar_weak_z_eta06,10,8,0.24,8,0.04381179647180552,-0.23514557245326298
independent,haar_weak_z_eta06,12,6,0.08,8,0.4588556244668819,-0.1091019923965369
independent,haar_weak_z_eta06,12,6,0.24,8,0.349753632070345,-0.1091019923965369
independent,haar_weak_z_eta06,12,8,0.08,8,0.4531291531980393,-0.10496018324243522
independent,haar_weak_z_eta06,12,8,0.24,8,0.3481689699556041,-0.10496018324243522
independent,haar_weak_z_eta06,14,6,0.08,8,0.3523557699702618,-0.2092378525373521
independent,haar_weak_z_eta06,14,6,0.24,8,0.1431179174329097,-0.2092378525373521
independent,haar_weak_z_eta06,14,8,0.08,8,0.3662018598703904,-0.19632747485905191
independent,haar_weak_z_eta06,14,8,0.24,8,0.16987438501133847,-0.19632747485905191
