tau,S_central,p_low,p_high,rows_low,rows_high,denominator_weight,local_slope,normalized_weight,run,protocol,n
6,0,0.22,0.23999999999999999,32,56,2.1207100591715951,-0.04285779681522419,3.4026905026799368e-05,primary,random_pauli,32
6,0,0.22,0.25,32,63,5.3680473372781066,-0.015344149477055535,8.6130603349086015e-05,primary,random_pauli,32
6,0,0.22,0.26000000000000001,32,60,9.0887573964497079,-0.025000381475547416,0.00014582959297199753,primary,random_pauli,32
6,0,0.22,0.27000000000000002,32,100,23.668639053254452,-0.0088001342793926993,0.00037976456503124363,primary,random_pauli,32
6,0,0.22,0.28000000000000003,32,99,33.742011834319555,-0.0082492841232446011,0.00054139236390854113,primary,random_pauli,32
6,0,0.22,0.29999999999999999,32,170,103.00591715976326,-0.013676679277799478,0.0016527353870159705,primary,random_pauli,32
6,0,0.22,0.34000000000000002,32,265,361.27810650887585,-0.0090252949477762443,0.005796726320636901,primary,random_pauli,32
6,0,0.23999999999999999,0.25,56,63,1.0437869822485224,0.039683145199281698,1.6747617317877864e-05,primary,random_pauli,32
6,0,0.23999999999999999,0.26000000000000001,56,60,3.9763313609467525,-0.0071429661358706703,6.3800446925249012e-05,primary,random_pauli,32
6,0,0.23999999999999999,0.27000000000000002,56,100,14.91124260355032,0.013904974077828265,0.00023925167596968374,primary,random_pauli,32
6,0,0.23999999999999999,0.28000000000000003,56,99,26.243786982248569,0.0090549722227451692,0.00042108294970664349,primary,random_pauli,32
6,0,0.23999999999999999,0.29999999999999999,56,170,101.39644970414203,-0.0039496400986579099,0.0016269113965938472,primary,random_pauli,32
6,0,0.23999999999999999,0.34000000000000002,56,265,439.05325443787007,-0.0022587945742866592,0.0070446326813295695,primary,random_pauli,32
6,0,0.25,0.26000000000000001,63,60,1.1183431952662739,-0.053969077471023037,1.7943875697726278e-05,primary,random_pauli,32
6,0,0.25,0.27000000000000002,63,100,7.4556213017751602,0.0010158885171015477,0.00011962583798484187,primary,random_pauli,32
6,0,0.25,0.28000000000000003,63,99,16.607396449704172,-0.0011544187694336727,0.00026646655411123534,primary,random_pauli,32
6,0,0.25,0.29999999999999999,63,170,79.21597633136092,-0.01267619715824584,0.0012710245285889423,primary,random_pauli,32
6,0,0.25,0.34000000000000002,63,265,400.08727810650902,-0.0069190101046831464,0.0064194215308615689,primary,random_pauli,32
6,0,0.26000000000000001,0.27000000000000002,60,100,1.7751479289940859,0.056000854505226134,2.8482342377343307e-05,primary,random_pauli,32
6,0,0.26000000000000001,0.28000000000000003,60,99,7.0295857988165809,0.025252910581361011,0.00011279007581427951,primary,random_pauli,32
6,0,0.26000000000000001,0.29999999999999999,60,170,48.284023668638994,-0.0023529770800515284,0.00077471971266373564,primary,random_pauli,32
6,0,0.26000000000000001,0.34000000000000002,60,265,301.06508875739655,-0.0010377516838906556,0.0048306052671974178,primary,random_pauli,32
6,0,0.27000000000000002,0.28000000000000003,100,99,2.9289940828402421,-0.0054950333425041135,4.6995864922616458e-05,primary,random_pauli,32
6,0,0.27000000000000002,0.29999999999999999,100,170,45.266272189349024,-0.021804254275144121,0.00072629973062225163,primary,random_pauli,32
6,0,0.27000000000000002,0.34000000000000002,100,265,384.17159763313623,-0.0091861239966216316,0.0061640535961633722,primary,random_pauli,32
6,0,0.28000000000000003,0.29999999999999999,99,170,19.917159763313531,-0.029958864741464142,0.00031957188147379011,primary,random_pauli,32
6,0,0.28000000000000003,0.34000000000000002,99,265,279.42603550295854,-0.0098013057723078858,0.0044834055136176018,primary,random_pauli,32
6,0,0.29999999999999999,0.34000000000000002,170,265,213.25443786982288,0.00027747371227021506,0.0034216787309315094,primary,random_pauli,32
6,1,0.20000000000000001,0.22,62,96,3.0259278088459549,-0.0067877379812642004,4.8551171681513342e-05,primary,random_pauli,32
6,1,0.20000000000000001,0.23999999999999999,62,152,19.164209456024381,-0.022856885270937669,0.00030749075398291782,primary,random_pauli,32
6,1,0.20000000000000001,0.25,62,196,38.612099644128101,-0.031916221038434209,0.00061953318031097797,primary,random_pauli,32
6,1,0.20000000000000001,0.26000000000000001,62,228,64.679206914082357,-0.034390262539085413,0.0010377812946923489,primary,random_pauli,32
6,1,0.20000000000000001,0.27000000000000002,62,254,98.074733096085438,-0.024413449917265934,0.0015736142779898851,primary,random_pauli,32
6,1,0.20000000000000001,0.28000000000000003,62,311,156.84392475851556,-0.020968061882717184,0.0025165690654917784,primary,random_pauli,32
6,1,0.20000000000000001,0.29999999999999999,62,325,256.10066090493126,-0.023543783567245055,0.0041091486449197513,primary,random_pauli,32
6,1,0.20000000000000001,0.34000000000000002,62,343,529.75800711743784,-0.020728238793231074,0.008499995233866622,primary,random_pauli,32
6,1,0.22,0.23999999999999999,96,152,7.4184036603965344,-0.038926032560611133,0.00011902867896112948,primary,random_pauli,32
6,1,0.22,0.25,96,196,21.523131672597863,-0.048668543076547534,0.00034533978567011941,primary,random_pauli,32
6,1,0.22,0.26000000000000001,96,228,44.510421962379269,-0.048191524817996004,0.00071417207376677785,primary,random_pauli,32
6,1,0.22,0.27000000000000002,96,254,77.478393492628427,-0.03146373469166662,0.0012431449200710092,primary,random_pauli,32
6,1,0.22,0.28000000000000003,96,311,136.60599898322329,-0.025694836516534838,0.0021918504763960662,primary,random_pauli,32
6,1,0.22,0.29999999999999999,96,325,253.78749364514476,-0.027732794963740273,0.0040720337539333793,primary,random_pauli,32
6,1,0.22,0.34000000000000002,96,343,602.64768683274042,-0.023051655595225554,0.0096695139987633474,primary,random_pauli,32
6,1,0.23999999999999999,0.25,152,196,3.786476868327409,-0.068153564108420328,6.0754221553076681e-05,primary,random_pauli,32
6,1,0.23999999999999999,0.26000000000000001,152,228,17.618708693441818,-0.057457017075380874,0.0002826931125326833,primary,random_pauli,32
6,1,0.23999999999999999,0.27000000000000002,152,254,44.162684290798254,-0.026488869445703625,0.00070859260444047605,primary,random_pauli,32
6,1,0.23999999999999999,0.28000000000000003,152,311,96.130147432638708,-0.019079238494496702,0.0015424132982046407,primary,random_pauli,32
6,1,0.23999999999999999,0.29999999999999999,152,325,226.02948652770718,-0.024001715764783316,0.0036266550620969178,primary,random_pauli,32
6,1,0.23999999999999999,0.34000000000000002,152,343,662.63345195729585,-0.01987678020214844,0.010631988771788408,primary,random_pauli,32
6,1,0.25,0.26000000000000001,196,228,5.6797153024911138,-0.04676047004234142,9.1131332329615032e-05,primary,random_pauli,32
6,1,0.25,0.27000000000000002,196,254,25.309608540925311,-0.0056565221143452752,0.00040609400722319672,primary,random_pauli,32
6,1,0.25,0.28000000000000003,196,311,69.725978647686958,-0.0027211299565221628,0.0011187570139938265,primary,random_pauli,32
6,1,0.25,0.29999999999999999,196,325,202.40213523131663,-0.015171346096055907,0.0032475529613075456,primary,random_pauli,32
