run,protocol,n,pre,change,post,pre_ci_low,pre_ci_high,change_ci_low,change_ci_high,post_ci_low,post_ci_high,rows
primary,random_pauli,128,-0.077568532756288722,0.042672708088574186,-0.034895824667714535,-0.084479822337685695,-0.071015960600381817,0.03393485596764776,0.051200250503633075,-0.038831299591517279,-0.031033210012244138,19126
primary,random_pauli,256,-0.11966296639954033,0.082134082435139838,-0.037528883964400489,-0.1323098630308624,-0.10672175828530518,0.067778084078995049,0.096333198584590801,-0.042048909660180003,-0.032976293031050971,15652
primary,z_projective,128,-0.076055126439206158,0.046525681561624462,-0.029529444877581697,-0.083083032069041357,-0.068903437079279997,0.037554294591939839,0.055128577556372814,-0.033601644378268451,-0.025642059252896025,19143
primary,z_projective,256,-0.11227216292686254,0.073762117423518833,-0.038510045503343707,-0.12454617302586958,-0.10046893031286973,0.060319065518813754,0.087480717995033749,-0.043135944438476508,-0.034110433387678801,16173
replication,random_pauli,128,-0.073242821757767806,0.040447776381199396,-0.03279504537656841,-0.085701128012708044,-0.060427988704918924,0.024511289215055975,0.056152957258350289,-0.039913665809995377,-0.025421634535706422,6522
replication,random_pauli,256,-0.10709706054518427,0.061774924175641642,-0.045322136369542625,-0.13091288331295156,-0.084108994445036306,0.036413701167809148,0.086700537529583677,-0.053418928715527995,-0.03775183317621849,4799
replication,z_projective,128,-0.070433397496348152,0.034907097914261762,-0.03552629958208639,-0.082473329994760064,-0.057687794715013667,0.019000561226787911,0.049949431936880867,-0.042421644056996118,-0.028787519624471441,6523
replication,z_projective,256,-0.12742182152080797,0.095122242011926234,-0.032299579508881737,-0.15036069027566898,-0.10415127218173299,0.070272484155823281,0.12065392135834516,-0.039006889282807745,-0.025227384517602362,5078
