run,protocol,model,power,omit,beta_infinity,correction,ci_low,ci_high,Q,residual_dimensions,weight_basis
primary,random_pauli,locked,1,,-0.053190142498300459,0.86001035677119086,-0.055856107461107307,-0.050500964592334364,16.783240738064833,2,source_CI_width
primary,random_pauli,power_0.5,0.5,,-0.06647505789788026,0.2250794227751764,-0.07082987739202537,-0.062031528070136975,7.958990781136718,2,archived_bootstrap_SD
primary,random_pauli,power_1.0,1,,-0.053267718040878702,0.8613524417752273,-0.055941952150255644,-0.050568035571223635,16.520897334162733,2,archived_bootstrap_SD
primary,random_pauli,power_1.5,1.5,,-0.048861728491531128,4.0747317738600239,-0.051065450619129669,-0.046609085504942471,27.93782990197635,2,archived_bootstrap_SD
primary,random_pauli,power_2.0,2,,-0.046692925046333919,20.669193820179849,-0.048740488943425024,-0.044649021449934781,38.810638257274903,2,archived_bootstrap_SD
primary,random_pauli,leave_out_32,1,32,-0.059608230312937438,1.5088898677972806,-0.06378855164589857,-0.055443899992945495,1.5037768565566145,1,archived_bootstrap_SD
primary,random_pauli,leave_out_64,1,64,-0.056191446043431632,0.91851779200746453,-0.059167463865239772,-0.053014519983648915,0.070625110646565958,1,archived_bootstrap_SD
primary,random_pauli,leave_out_128,1,128,-0.050952813376281464,0.78192252894463021,-0.054286201112890696,-0.047466233060989398,11.670278548266856,1,archived_bootstrap_SD
primary,random_pauli,leave_out_256,1,256,-0.051720112683279994,0.80315090434804337,-0.054886465085073929,-0.048411137379942765,14.300231286495082,1,archived_bootstrap_SD
primary,z_projective,locked,1,,-0.05175830200589434,0.73752808476633225,-0.054534316521462171,-0.048897625054461151,5.2134470734090739,2,source_CI_width
primary,z_projective,power_0.5,0.5,,-0.062684086616112661,0.1901671827544088,-0.067077921763097473,-0.058113657019287439,0.9444734317479031,2,archived_bootstrap_SD
primary,z_projective,power_1.0,1,,-0.051685610760822488,0.73476910467519962,-0.054474805041986825,-0.04882193142042314,5.0738755161132669,2,archived_bootstrap_SD
primary,z_projective,power_1.5,1.5,,-0.048054915236231385,3.5132766135611986,-0.05037475313250174,-0.045771679636836968,10.999838891395456,2,archived_bootstrap_SD
primary,z_projective,power_2.0,2,,-0.046282893290582605,18.004009538675447,-0.048401134305557328,-0.044208839998851564,16.775140508511964,2,archived_bootstrap_SD
primary,z_projective,leave_out_32,1,32,-0.054639802592446829,1.0403030481945654,-0.058775352092375326,-0.050391285818710725,1.7869164400718291,1,archived_bootstrap_SD
primary,z_projective,leave_out_64,1,64,-0.052718612660174614,0.75505012368967062,-0.055813459794689615,-0.049546707611748911,3.0050638578644682,1,archived_bootstrap_SD
primary,z_projective,leave_out_128,1,128,-0.052576853482753157,0.76518303869513948,-0.055852788984166533,-0.049039426224916097,4.3297379058262768,1,archived_bootstrap_SD
primary,z_projective,leave_out_256,1,256,-0.04930323031212417,0.64569539021364797,-0.052735979407582942,-0.045755978936331584,0.2854793809810991,1,archived_bootstrap_SD
replication,random_pauli,locked,1,,-0.051965804145208024,0.77221178192151774,-0.056525197571063439,-0.047361197798529722,1.5773091561250325,2,source_CI_width
replication,random_pauli,power_0.5,0.5,,-0.063454901372259398,0.19924929805156488,-0.071019779122234533,-0.055950679993974232,0.5700617516024381,2,archived_bootstrap_SD
replication,random_pauli,power_1.0,1,,-0.051980734944146054,0.77252858039443884,-0.056545559265885441,-0.04735143825739381,1.562377569414408,2,archived_bootstrap_SD
replication,random_pauli,power_1.5,1.5,,-0.04818918212049348,3.7059320560878493,-0.051851322537443727,-0.044335048687234049,3.378581873587263,2,archived_bootstrap_SD
replication,random_pauli,power_2.0,2,,-0.046334261065611698,19.047000837171815,-0.049644336181357183,-0.042899696043796169,5.2636634222811649,2,archived_bootstrap_SD
replication,random_pauli,leave_out_32,1,32,-0.054001453183356148,0.9789564995741914,-0.060737295619562773,-0.046894705615014479,1.0297376428355884,1,archived_bootstrap_SD
replication,random_pauli,leave_out_64,1,64,-0.052577987243492323,0.78503105738847179,-0.057668172441902442,-0.047343908336727095,1.3399923309946136,1,archived_bootstrap_SD
replication,random_pauli,leave_out_128,1,128,-0.053343600230775688,0.81899379844537212,-0.059013602832306243,-0.04743670320225897,0.91624775167764227,1,archived_bootstrap_SD
replication,random_pauli,leave_out_256,1,256,-0.04969039334987467,0.6875449211788629,-0.055449753364867072,-0.04378594196067153,0.011440808054725467,1,archived_bootstrap_SD
replication,z_projective,locked,1,,-0.049162920247190205,0.68653704611862887,-0.053397726300060476,-0.044668726829840764,0.74390591297288433,2,source_CI_width
replication,z_projective,power_0.5,0.5,,-0.058810748201650664,0.17317455355880501,-0.065822388703347778,-0.051620308329413916,1.2580720934858605,2,archived_bootstrap_SD
replication,z_projective,power_1.0,1,,-0.049164799090890048,0.68680749284923159,-0.053400708758483448,-0.044671036677028743,0.74463046961542301,2,archived_bootstrap_SD
